"country","population","life expectancy","income"
"Afghanistan","36400000","58.7","1870"
"Albania","2930000","78","12400"
"Algeria","42000000","77.9","13700"
"Andorra","77000",,"51500"
"Angola","30800000","65.2","5850"
"Antigua and Barbuda","103000","77.6","21000"
"Argentina","44700000","77","18900"
"Armenia","2930000","76","8660"
"Australia","24800000","82.9","45800"
"Austria","8750000","81.8","44600"
"Azerbaijan","9920000","72.3","16600"
"Bahamas","399000","74.1","21900"
"Bahrain","1570000","77.2","44300"
"Bangladesh","166000000","73.4","3720"
"Barbados","286000","76.8","16000"
"Belarus","9450000","73.8","17200"
"Belgium","11500000","81.2","42800"
"Belize","382000","72.5","7710"
"Benin","11500000","65","2170"
"Bhutan","817000","74.8","9930"
"Bolivia","11200000","74","6980"
"Bosnia and Herzegovina","3500000","77.9","12100"
"Botswana","2330000","66.9","16500"
"Brazil","211000000","75.7","14300"
"Brunei","434000","77.4","76900"
"Bulgaria","7040000","75.3","18900"
"Burkina Faso","19800000","61.6","1710"
"Burundi","11200000","61.1","691"
"Cambodia","16200000","69.3","3830"
"Cameroon","24700000","61.2","3170"
"Canada","37000000","82.2","43800"
"Cape Verde","553000","74.1","6420"
"Central African Republic","4740000","51.6","689"
"Chad","15400000","60.5","1860"
"Chile","18200000","80.7","23400"
"China","1420000000","76.9","16000"
"Colombia","49500000","78.6","13700"
"Comoros","832000","68","1440"
"Congo, Dem. Rep.","84000000","62.4","751"
"Congo, Rep.","5400000","63.9","5620"
"Costa Rica","4950000","81.4","16200"
"Cote d'Ivoire","24900000","61.2","3760"
"Croatia","4160000","77.7","22600"
"Cuba","11500000","79.3","20000"
"Cyprus","1190000","80.8","32200"
"Czech Republic","10600000","79.4","32300"
"Denmark","5750000","81.1","46600"
"Djibouti","971000","67.1","3540"
"Dominica","74300",,"10600"
"Dominican Republic","10900000","76.1","15200"
"Ecuador","16900000","78.3","10200"
"Egypt","99400000","72.6","10800"
"El Salvador","6410000","75.8","8290"
"Equatorial Guinea","1310000","66.1","20500"
"Eritrea","5190000","64.6","1250"
"Estonia","1310000","77.7","29500"
"Ethiopia","108000000","66.4","1800"
"Fiji","912000","65.8","9420"
"Finland","5540000","82.1","40300"
"France","65200000","82.6","39000"
"Gabon","2070000","67.3","17500"
"Gambia","2160000","67.8","1570"
"Georgia","3910000","74.3","10100"
"Germany","82300000","81.3","45200"
"Ghana","29500000","66.6","4380"
"Greece","11100000","81.3","25500"
"Grenada","108000","71.9","13500"
"Guatemala","17200000","73.2","7530"
"Guinea","13100000","61.9","1280"
"Guinea-Bissau","1910000","59.7","1550"
"Guyana","782000","68.2","7740"
"Haiti","11100000","64.5","1710"
"Holy See","801","64.5","1710"
"Honduras","9420000","73.1","4590"
"Hungary","9690000","75.9","26900"
"Iceland","338000","82.6","47400"
"India","1350000000","69.1","6890"
"Indonesia","267000000","72","11700"
"Iran","82000000","76.5","17400"
"Iraq","39300000","68","15900"
"Ireland","4800000","81.5","65600"
"Israel","8450000","82.4","33400"
"Italy","59300000","82.6","35200"
"Jamaica","2900000","75.2","8520"
"Japan","127000000","84.2","39100"
"Jordan","9900000","76.7","8450"
"Kazakhstan","18400000","72","24200"
"Kenya","51000000","67.3","3110"
"Kiribati","118000","62.2","1890"
"Kuwait","4200000","80","68400"
"Kyrgyz Republic","6130000","71.5","3490"
"Lao","6960000","67.9","6310"
